,loss,accuracy,auc,val_loss,val_accuracy,val_auc,lr,fold,seed
0,0.676670491695404,0.5852842926979065,0.6115398406982422,0.6782950162887573,0.5,0.5765305757522583,0.009999999776482582,0,0
1,0.5069370269775391,0.7452619671821594,0.8298364877700806,0.2718953490257263,0.8571428656578064,0.9489794969558716,0.009999999776482582,0,0
2,0.3573761582374573,0.8408583998680115,0.9222662448883057,0.22698570787906647,0.8571428656578064,0.9795918464660645,0.009999999776482582,0,0
3,0.334768146276474,0.8606466054916382,0.9330533742904663,0.17337897419929504,0.8571428656578064,0.9795917868614197,0.009999999776482582,0,0
4,0.29227414727211,0.8790412545204163,0.9487969875335693,0.25102296471595764,0.8571428656578064,0.9795918464660645,0.009999999776482582,0,0
5,0.2664954960346222,0.8915830254554749,0.9584240317344666,0.45206138491630554,0.8571428656578064,0.9744898080825806,0.009999999776482582,0,0
6,0.2672886550426483,0.8846153616905212,0.9578245878219604,0.27816057205200195,0.8571428656578064,0.9489795565605164,0.009999999776482582,0,0
7,0.2389036864042282,0.9013378024101257,0.9666728377342224,0.22492483258247375,0.9285714030265808,0.982142984867096,0.009999999776482582,0,0
8,0.21834421157836914,0.914158284664154,0.9726734757423401,0.20829346776008606,0.8571428656578064,0.979591965675354,0.009999999776482582,0,0
9,0.21870039403438568,0.9180601835250854,0.9727483987808228,0.05450355261564255,1.0,1.0,0.00699999975040555,0,0
10,0.17620404064655304,0.9269788265228271,0.9821345806121826,0.12724259495735168,0.9285714030265808,0.9846939444541931,0.00699999975040555,0,0
11,0.18299905955791473,0.928093671798706,0.9807108044624329,0.08820152282714844,1.0,1.0,0.00699999975040555,0,0
12,0.17202438414096832,0.9331103563308716,0.9834334850311279,0.04777082800865173,1.0,1.0,0.00699999975040555,0,0
13,0.19269536435604095,0.9233556389808655,0.9788045883178711,0.050595227628946304,1.0,1.0,0.00699999975040555,0,0
14,0.1733429878950119,0.9308807253837585,0.9824552536010742,0.14705215394496918,0.9285714030265808,0.9846939444541931,0.00699999975040555,0,0
15,0.17835873365402222,0.9333890676498413,0.9821613430976868,0.37608781456947327,0.7857142686843872,0.9234693646430969,0.00699999975040555,0,0
16,0.16684916615486145,0.9333890676498413,0.9843519926071167,0.05962807685136795,1.0,0.9999999403953552,0.00699999975040555,0,0
17,0.15117228031158447,0.9492753744125366,0.9868599772453308,0.19733887910842896,0.9285714030265808,0.9744898080825806,0.00699999975040555,0,0
18,0.1371711790561676,0.9448160529136658,0.9893788695335388,0.15260006487369537,0.8571428656578064,0.9795919060707092,0.004900000058114529,0,0
19,0.16191664338111877,0.9403567314147949,0.9854139089584351,0.16007153689861298,0.9285714030265808,0.9846938252449036,0.004900000058114529,0,0
0,0.6419628262519836,0.6144744157791138,0.6675342321395874,0.5159703493118286,0.9230769276618958,0.857988178730011,0.009999999776482582,1,0
1,0.42080268263816833,0.8054485321044922,0.8895381093025208,0.5682632923126221,0.9230769276618958,0.8757396340370178,0.009999999776482582,1,0
2,0.35287246108055115,0.8425976634025574,0.9245309829711914,0.26563331484794617,0.8461538553237915,0.9644970297813416,0.009999999776482582,1,0
3,0.2813713848590851,0.8747935891151428,0.9521952867507935,0.4204646348953247,0.8461538553237915,0.9289941191673279,0.009999999776482582,1,0
4,0.26953792572021484,0.8835993409156799,0.9565959572792053,0.18010364472866058,0.9230769276618958,0.9704142212867737,0.009999999776482582,1,0
